iter	RMSE
0	107512.7047
1	103631.6859
2	100218.6652
3	96888.72536
4	93930.49496
5	91091.24902
6	88401.29943
7	85917.96208
8	83592.97375
9	81532.1059
10	79656.26067
11	77794.69755
12	76190.15347
13	74531.98312
14	72986.06903
15	71630.63332
16	70359.65607
17	69227.77009
18	68226.45879
19	67260.14578
20	66354.20072
21	65415.71729
22	64637.41452
23	63859.28762
24	63182.68838
25	62502.57578
26	61846.44803
27	61244.94
28	60627.88514
29	60119.3834
30	59578.65773
31	59074.02905
32	58675.4669
33	58293.55527
34	57848.68208
35	57495.48392
36	57096.57306
37	56771.94448
38	56479.97275
39	56161.50183
40	55928.66166
41	55650.69116
42	55395.56407
43	55139.41947
44	54875.7686
45	54656.68987
46	54483.33883
47	54279.71091
48	54035.00223
49	53811.99236
50	53612.57782
51	53399.46639
52	53250.53342
53	53099.41719
54	52991.44522
55	52848.69749
56	52743.03861
57	52538.89183
58	52413.64521
59	52308.03833
60	52154.89119
61	51989.70861
62	51857.87524
63	51756.06747
64	51650.09275
65	51538.24362
66	51432.52221
67	51283.80507
68	51211.12232
69	51135.33899
70	51016.35731
71	50923.1531
72	50812.65369
73	50715.51621
74	50654.94821
75	50565.94177
76	50471.96857
77	50351.88569
78	50286.96617
79	50216.31926
80	50142.5825
81	50075.08969
82	50020.03594
83	49952.16966
84	49852.79539
85	49777.8272
86	49698.71538
87	49594.72083
88	49543.07959
89	49449.40226
90	49335.44592
91	49256.11187
92	49150.22799
93	49049.91826
94	48966.9821
95	48871.95827
96	48811.23476
97	48721.30871
98	48629.64781
99	48539.73226
100	48465.43595
101	48425.58574
102	48386.86378
103	48319.24349
104	48280.7247
105	48205.89489
106	48144.80308
107	48116.11035
108	48062.54196
109	47989.80658
110	47941.27471
111	47901.32312
112	47842.56518
113	47786.67163
114	47720.0618
115	47687.10537
116	47662.53393
117	47605.47362
118	47511.80027
119	47444.81775
120	47381.78657
121	47351.01712
122	47306.56834
123	47261.20095
124	47210.6989
125	47181.55398
126	47117.9493
127	47092.41437
128	47025.1507
129	46978.30152
130	46910.11652
131	46876.54464
132	46827.37768
133	46789.69381
134	46737.81959
135	46681.64147
136	46661.198
137	46571.09855
138	46512.37817
139	46483.43535
140	46431.56096
141	46378.16913
142	46321.36
143	46277.38553
144	46226.77104
145	46168.48452
146	46116.75277
147	46089.94559
148	46058.17881
149	46024.02591
150	45968.79691
151	45908.16284
152	45867.26391
153	45832.81121
154	45799.11015
155	45755.43298
156	45738.34122
157	45698.6999
158	45676.3505
159	45627.60253
160	45595.70884
161	45558.29886
162	45499.7886
163	45463.52514
164	45412.13775
165	45353.24213
166	45326.21339
167	45313.96206
168	45265.84229
169	45225.40677
170	45191.73738
171	45167.44774
172	45142.16268
173	45075.29171
174	45037.23584
175	44999.81038
176	44959.55345
177	44911.44582
178	44886.61347
179	44851.66557
180	44819.43767
181	44792.62008
182	44749.29385
183	44700.2981
184	44670.10918
185	44628.19973
186	44560.56042
187	44543.11376
188	44497.54907
189	44440.06169
190	44381.43101
191	44356.76811
192	44331.12044
193	44305.95511
194	44261.44646
195	44205.45035
196	44158.60087
197	44096.80747
198	44059.07837
199	44008.84323
200	43962.82217
201	43921.90281
202	43891.56399
203	43828.77354
204	43773.31031
205	43728.56449
206	43699.10534
207	43651.26838
208	43612.45844
209	43576.09158
210	43539.2677
211	43503.06545
212	43457.83834
213	43433.95514
214	43390.84712
215	43350.89261
216	43316.25717
217	43277.70102
218	43252.60186
219	43232.34717
220	43183.34459
221	43162.38901
222	43123.70112
223	43083.2034
224	43034.36827
225	43007.66027
226	42965.55669
227	42919.86054
228	42890.78266
229	42865.57631
230	42835.17703
231	42806.52718
232	42776.95052
233	42749.70219
234	42702.71791
235	42653.72419
236	42619.45801
237	42563.67011
238	42517.83676
239	42481.49977
240	42460.26275
241	42429.57945
242	42394.11539
243	42354.84095
244	42327.73062
245	42288.81278
246	42250.25225
247	42228.83519
248	42195.1374
249	42161.85386
250	42138.19472
251	42106.22489
252	42073.62661
253	42041.36925
254	42014.67238
255	41969.53126
256	41937.32633
257	41924.03792
258	41903.81455
259	41871.11395
260	41838.31431
261	41805.54475
262	41756.57257
263	41717.182
264	41688.33305
265	41665.74733
266	41618.38455
267	41581.23607
268	41555.38108
269	41543.71449
270	41529.03207
271	41506.31729
272	41484.78673
273	41453.73515
274	41422.39648
275	41399.93178
276	41362.68795
277	41323.25445
278	41300.35412
279	41282.08085
280	41267.53513
281	41223.7995
282	41188.93336
283	41154.7948
284	41123.36191
285	41080.47336
286	41058.05083
287	41036.3116
288	40994.16837
289	40977.63507
290	40954.53531
291	40920.51331
292	40903.21553
293	40871.37902
294	40854.8211
295	40821.17725
296	40806.2443
297	40776.87617
298	40748.02198
299	40733.54141
300	40703.13802
301	40675.65504
302	40649.95437
303	40616.41261
304	40586.1891
305	40573.42444
306	40544.53031
307	40525.52791
308	40484.48357
309	40449.16045
310	40415.56489
311	40382.59845
312	40343.34359
313	40322.9052
314	40293.96609
315	40263.79636
316	40232.07294
317	40196.92704
318	40177.82553
319	40145.17021
320	40108.94911
321	40080.6666
322	40067.94222
323	40042.48483
324	40019.42606
325	39989.44898
326	39976.38395
327	39950.70458
328	39915.56038
329	39896.8825
330	39869.9185
331	39854.79829
332	39827.67191
333	39810.1738
334	39786.91789
335	39758.94598
336	39740.04294
337	39716.34309
338	39686.38675
339	39663.88099
340	39638.12054
341	39608.3902
342	39588.07105
343	39570.84539
344	39548.57017
345	39527.7362
346	39517.02753
347	39499.64499
348	39463.70512
349	39442.7056
350	39431.09142
351	39402.34828
352	39377.57232
353	39367.52795
354	39334.36562
355	39317.2697
356	39289.47412
357	39256.24734
358	39239.91579
359	39232.2751
360	39214.87301
361	39194.20473
362	39166.78799
363	39142.91733
364	39116.41553
365	39098.62484
366	39073.10678
367	39051.11377
368	39030.17831
369	39009.81554
370	38985.90297
371	38969.24
372	38941.91424
373	38917.62442
374	38889.25809
375	38867.94975
376	38851.83289
377	38832.5771
378	38809.68157
379	38792.80315
380	38766.01604
381	38739.36671
382	38723.4254
383	38705.11324
384	38678.47316
385	38655.66485
386	38636.11563
387	38612.9289
388	38590.14179
389	38568.52559
390	38542.02432
391	38520.89452
392	38503.63915
393	38488.74081
394	38476.99026
395	38462.66168
396	38428.78103
397	38408.98727
398	38394.63622
399	38368.95783
400	38350.95733
401	38337.24592
402	38320.68078
403	38305.52304
404	38286.05236
405	38260.9567
406	38238.24299
407	38215.49538
408	38183.30342
409	38169.23682
410	38142.90655
411	38119.51968
412	38101.99549
413	38079.56044
414	38056.04915
415	38039.16814
416	38017.63063
417	38001.14135
418	37989.06174
419	37960.83259
420	37948.46891
421	37926.65939
422	37910.18924
423	37897.83021
424	37874.06267
425	37861.7606
426	37844.21138
427	37831.37356
428	37807.44034
429	37789.38061
430	37769.31189
431	37753.49859
432	37739.35129
433	37724.47437
434	37706.20484
435	37686.6997
436	37664.16077
437	37655.5325
438	37641.67522
439	37621.34524
440	37608.71649
441	37594.23301
442	37565.42773
443	37549.93266
444	37530.77622
445	37510.50524
446	37488.76928
447	37474.0852
448	37454.66533
449	37435.83421
450	37421.79318
451	37405.01576
452	37379.34175
453	37360.05077
454	37343.58115
455	37330.61029
456	37308.80987
457	37287.36916
458	37271.85933
459	37250.58953
460	37230.07028
461	37214.2084
462	37192.90166
463	37173.87019
464	37164.59912
465	37143.23743
466	37121.44257
467	37093.90489
468	37068.27913
469	37048.09562
470	37030.49492
471	37001.21518
472	36987.24629
473	36965.57549
474	36950.96433
475	36933.61092
476	36913.90172
477	36899.59999
478	36875.68265
479	36855.39735
480	36844.12661
481	36837.49214
482	36821.26433
483	36794.76098
484	36770.86269
485	36755.891
486	36746.72786
487	36730.72375
488	36716.4423
489	36698.60766
490	36681.53304
491	36667.55578
492	36649.43204
493	36631.80132
494	36617.42403
495	36598.51881
496	36583.06953
497	36563.37856
498	36540.25264
499	36527.31277
500	36505.98154
501	36485.71396
502	36461.80749
503	36436.88205
504	36420.60387
505	36402.22044
506	36388.59636
507	36376.61342
508	36355.36451
509	36345.26463
510	36324.62116
511	36310.48272
512	36295.02712
513	36278.52601
514	36266.72391
515	36246.22556
516	36233.89398
517	36221.46103
518	36209.34548
519	36198.03391
520	36178.29745
521	36157.96442
522	36143.7149
523	36135.10788
524	36114.46533
525	36101.04628
526	36087.82963
527	36064.11666
528	36046.71129
529	36019.05656
530	36002.8836
531	35989.39957
532	35969.88754
533	35957.52378
534	35945.3631
535	35929.41345
536	35910.31467
537	35892.11717
538	35883.21173
539	35864.81956
540	35857.93821
541	35843.85933
542	35826.77566
543	35807.65849
544	35788.69563
545	35774.4956
546	35760.42065
547	35748.72165
548	35727.53322
549	35713.82575
550	35699.05702
551	35685.39686
552	35675.01179
553	35652.24161
554	35632.84909
555	35613.32502
556	35603.35429
557	35589.47251
558	35575.69749
559	35559.81466
560	35544.63726
561	35532.50358
562	35518.62123
563	35498.2964
564	35484.48294
565	35474.06212
566	35456.55433
567	35442.37697
568	35433.98485
569	35421.64027
570	35402.36091
571	35384.27121
572	35376.46285
573	35360.69443
574	35344.43768
575	35333.62638
576	35314.05497
577	35303.38382
578	35292.5051
579	35273.75664
580	35260.73948
581	35243.58481
582	35224.14284
583	35208.53512
584	35199.80176
585	35182.38576
586	35172.6556
587	35162.23428
588	35135.61505
589	35124.90287
590	35111.26983
591	35097.39744
592	35081.7621
593	35067.64806
594	35054.42798
595	35036.92859
596	35031.59469
597	35016.65941
598	34999.41844
599	34984.05217
600	34970.72088
601	34958.33831
602	34947.49265
603	34937.03712
604	34930.50347
605	34907.35032
606	34899.71166
