iter	Passed	Remaining
0	21	21023
1	37	18625
2	56	18620
3	72	18153
4	89	17891
5	106	17678
6	123	17531
7	139	17343
8	156	17226
9	173	17185
10	190	17114
11	206	17030
12	223	16937
13	249	17558
14	327	21478
15	446	27477
16	592	34272
17	617	33683
18	679	35096
19	783	38402
20	811	37808
21	835	37119
22	859	36498
23	876	35658
24	895	34921
25	914	34250
26	937	33775
27	958	33260
28	981	32869
29	1003	32437
30	1025	32066
31	1044	31585
32	1059	31060
33	1077	30611
34	1096	30235
35	1116	29895
36	1134	29537
37	1152	29185
38	1169	28823
39	1190	28575
40	1208	28259
41	1223	27899
42	1238	27571
43	1260	27385
44	1276	27092
45	1290	26769
46	1306	26497
47	1321	26205
48	1340	26025
49	1370	26047
50	1419	26422
51	1440	26263
52	1459	26072
53	1478	25894
54	1493	25662
55	1509	25443
56	1524	25221
57	1542	25059
58	1561	24902
59	1577	24710
60	1596	24581
61	1612	24402
62	1627	24209
63	1642	24028
64	1660	23890
65	1675	23714
66	1690	23535
67	1706	23386
68	1721	23225
69	1735	23060
70	1751	22921
71	1769	22811
72	1786	22681
73	1806	22610
74	1823	22490
75	1842	22401
76	1861	22317
77	1880	22227
78	1897	22120
79	1913	22010
80	1929	21894
81	1945	21776
82	1962	21687
83	1978	21574
84	2007	21610
85	2025	21531
86	2044	21454
87	2060	21356
88	2075	21249
89	2092	21160
90	2109	21075
91	2126	20990
92	2142	20893
93	2158	20805
94	2175	20725
95	2195	20674
96	2214	20617
97	2244	20660
98	2275	20712
99	2299	20696
100	2316	20618
101	2332	20531
102	2347	20444
103	2363	20358
104	2378	20272
105	2394	20198
106	2413	20139
107	2432	20087
108	2452	20049
109	2469	19980
110	2484	19896
111	2498	19812
112	2513	19732
113	2528	19654
114	2544	19584
115	2560	19513
116	2575	19437
117	2591	19368
118	2608	19311
119	2624	19249
120	2643	19203
121	2657	19128
122	2673	19061
123	2693	19026
124	2708	18960
125	2722	18886
126	2737	18817
127	2753	18758
128	2769	18697
129	2784	18634
130	2799	18571
131	2815	18516
132	2831	18459
133	2851	18426
134	2865	18362
135	2884	18321
136	2900	18274
137	2915	18213
138	2932	18163
139	2946	18098
140	2961	18042
141	2977	17990
142	2992	17931
143	3007	17876
144	3023	17828
145	3040	17783
146	3061	17766
147	3101	17856
148	3130	17879
149	3145	17825
150	3160	17770
151	3175	17714
152	3188	17653
153	3203	17598
154	3220	17556
155	3242	17542
156	3261	17514
157	3279	17477
158	3298	17444
159	3315	17404
160	3334	17374
161	3350	17330
162	3366	17288
163	3385	17257
164	3399	17203
165	3415	17157
166	3429	17106
167	3445	17065
168	3461	17018
169	3483	17006
170	3502	16979
171	3523	16962
172	3543	16938
173	3560	16901
174	3575	16857
175	3590	16809
176	3605	16764
177	3620	16720
178	3635	16676
179	3651	16634
180	3667	16596
181	3683	16557
182	3701	16524
183	3718	16490
184	3734	16452
185	3752	16420
186	3767	16380
187	3783	16341
188	3799	16301
189	3815	16267
190	3831	16228
191	3847	16191
192	3863	16152
193	3880	16120
194	3896	16086
195	3912	16050
196	3940	16063
197	3965	16062
198	3990	16060
199	4009	16036
200	4024	15998
201	4039	15959
202	4054	15917
203	4070	15883
204	4090	15863
205	4107	15831
206	4125	15803
207	4142	15772
208	4156	15729
209	4172	15696
210	4188	15660
211	4203	15624
212	4218	15585
213	4233	15550
214	4248	15512
215	4264	15477
216	4280	15447
217	4297	15415
218	4315	15389
219	4331	15358
220	4349	15332
221	4365	15297
222	4386	15284
223	4402	15249
224	4420	15226
225	4436	15195
226	4454	15167
227	4471	15139
228	4489	15115
229	4508	15094
230	4530	15081
231	4547	15052
232	4567	15034
233	4584	15005
234	4599	14973
235	4616	14946
236	4632	14912
237	4648	14881
238	4664	14852
239	4680	14820
240	4696	14792
241	4711	14759
242	4729	14733
243	4747	14709
244	4770	14701
245	4805	14730
246	4828	14721
247	4845	14693
248	4861	14662
249	4876	14630
250	4891	14597
251	4907	14565
252	4923	14536
253	4941	14512
254	4956	14482
255	4976	14463
256	4992	14434
257	5007	14402
258	5023	14370
259	5038	14340
260	5055	14313
261	5070	14283
262	5086	14253
263	5102	14224
264	5118	14197
265	5137	14175
266	5155	14153
267	5171	14126
268	5187	14097
269	5202	14065
270	5216	14033
271	5233	14007
272	5248	13977
273	5266	13953
274	5280	13922
275	5296	13893
276	5312	13866
277	5329	13842
278	5351	13828
279	5366	13800
280	5384	13777
281	5402	13755
282	5418	13728
283	5434	13701
284	5450	13674
285	5468	13651
286	5483	13622
287	5498	13592
288	5513	13563
289	5527	13533
290	5544	13508
291	5562	13486
292	5578	13461
293	5596	13439
294	5613	13415
295	5659	13461
296	5683	13453
297	5702	13433
298	5717	13403
299	5732	13375
300	5748	13350
301	5765	13325
302	5783	13303
303	5799	13277
304	5819	13261
305	5836	13236
306	5852	13211
307	5867	13182
308	5881	13152
309	5894	13120
310	5908	13090
311	5924	13064
312	5941	13041
313	5960	13022
314	5975	12995
315	5991	12969
316	6007	12943
317	6025	12922
318	6041	12896
319	6057	12872
320	6073	12847
321	6088	12820
322	6103	12792
323	6118	12764
324	6132	12737
325	6148	12712
326	6163	12686
327	6180	12662
328	6196	12636
329	6215	12618
330	6231	12594
331	6250	12576
332	6266	12552
333	6279	12521
334	6294	12496
335	6311	12473
336	6327	12447
337	6342	12423
338	6359	12399
339	6376	12378
340	6391	12352
341	6408	12330
342	6425	12308
343	6442	12285
344	6486	12315
345	6510	12306
346	6526	12281
347	6540	12254
348	6557	12231
349	6572	12206
350	6586	12178
351	6601	12152
352	6617	12129
353	6635	12108
354	6651	12085
355	6668	12063
356	6688	12046
357	6704	12023
358	6720	11999
359	6736	11975
360	6752	11952
361	6768	11928
362	6782	11901
363	6797	11877
364	6812	11851
365	6827	11826
366	6842	11801
367	6858	11778
368	6875	11757
369	6891	11734
370	6910	11715
371	6924	11689
372	6938	11663
373	6954	11639
374	6969	11615
375	6985	11593
376	7000	11568
377	7017	11546
378	7033	11524
379	7054	11510
380	7070	11486
381	7088	11467
382	7105	11446
383	7121	11423
384	7136	11399
385	7150	11374
386	7164	11349
387	7180	11325
388	7196	11303
389	7212	11281
390	7229	11259
391	7249	11243
392	7264	11220
393	7284	11204
394	7301	11182
395	7319	11164
396	7337	11144
397	7383	11167
398	7404	11152
399	7420	11130
400	7436	11108
401	7451	11084
402	7469	11064
403	7485	11042
404	7506	11028
405	7523	11007
406	7538	10983
407	7553	10960
408	7568	10935
409	7583	10912
410	7599	10890
411	7614	10867
412	7629	10844
413	7645	10822
414	7660	10799
415	7678	10779
416	7694	10757
417	7714	10740
418	7734	10724
419	7750	10702
420	7765	10679
421	7781	10657
422	7797	10635
423	7813	10614
424	7829	10592
425	7844	10570
426	7862	10551
427	7884	10537
428	7905	10522
429	7927	10508
430	7944	10487
431	7960	10466
432	7976	10444
433	7992	10423
434	8008	10401
435	8024	10379
436	8039	10358
437	8055	10335
438	8070	10313
439	8085	10290
440	8100	10267
441	8118	10248
442	8177	10281
443	8194	10261
444	8211	10241
445	8227	10219
446	8243	10198
447	8258	10175
448	8274	10153
449	8291	10133
450	8308	10113
451	8328	10096
452	8343	10075
453	8363	10057
454	8380	10038
455	8397	10017
456	8412	9995
457	8428	9973
458	8442	9950
459	8457	9927
460	8471	9905
461	8486	9882
462	8503	9862
463	8520	9842
464	8541	9827
465	8658	9922
466	8721	9954
467	8741	9936
468	8781	9941
469	8809	9934
470	8834	9922
471	8854	9905
472	8875	9888
473	8897	9874
474	8919	9858
475	8938	9840
476	8959	9823
477	8980	9806
478	9030	9821
479	9052	9806
480	9070	9786
481	9086	9764
482	9102	9742
483	9119	9722
484	9137	9702
485	9160	9687
486	9176	9666
487	9196	9649
488	9214	9629
489	9231	9608
490	9247	9586
491	9262	9564
492	9278	9542
493	9294	9520
494	9309	9498
495	9326	9477
496	9342	9455
497	9361	9436
498	9380	9418
499	9399	9399
500	9461	9423
501	9523	9447
502	9586	9472
503	9605	9453
504	9638	9448
505	9677	9448
506	9695	9427
507	9710	9404
508	9725	9381
509	9740	9358
510	9754	9334
511	9770	9312
512	9787	9291
513	9804	9269
514	9820	9248
515	9837	9227
516	9854	9206
517	9880	9194
518	9911	9186
519	9931	9167
520	9947	9145
521	9964	9124
522	9980	9102
523	9995	9080
524	10012	9058
525	10028	9037
526	10048	9018
527	10063	8996
528	10083	8977
529	10099	8956
530	10117	8936
531	10133	8914
532	10148	8891
533	10163	8868
534	10178	8846
535	10194	8824
536	10208	8802
537	10225	8781
538	10242	8760
539	10262	8742
540	10279	8721
541	10300	8703
542	10317	8683
543	10340	8668
544	10356	8646
545	10372	8625
546	10388	8603
547	10404	8581
548	10418	8558
549	10432	8535
550	10447	8513
551	10463	8492
552	10481	8472
553	10496	8450
554	10513	8429
555	10529	8408
556	10545	8386
557	10559	8363
558	10574	8342
559	10588	8319
560	10604	8298
561	10619	8276
562	10636	8256
563	10654	8236
564	10671	8216
565	10686	8194
566	10707	8176
567	10750	8176
568	10773	8160
569	10787	8138
570	10802	8116
571	10820	8096
572	10833	8073
573	10847	8050
574	10862	8028
575	10880	8009
576	10897	7988
577	10914	7968
578	10931	7948
579	10946	7926
580	10961	7905
581	10977	7884
582	10992	7862
583	11006	7840
584	11022	7819
585	11038	7798
586	11056	7779
587	11071	7757
588	11087	7736
589	11106	7717
590	11120	7696
591	11135	7674
592	11158	7658
593	11174	7637
594	11190	7616
595	11208	7597
596	11224	7577
597	11242	7557
598	11261	7538
599	11277	7518
600	11296	7499
601	11315	7480
602	11331	7460
603	11350	7441
604	11367	7421
605	11384	7401
606	11400	7381
607	11416	7360
608	11432	7340
609	11449	7320
610	11469	7302
611	11488	7283
612	11509	7266
613	11564	7270
614	11583	7251
615	11599	7230
616	11614	7209
617	11630	7189
618	11646	7168
619	11662	7148
620	11681	7129
621	11699	7110
622	11717	7090
623	11734	7070
624	11748	7049
625	11763	7028
626	11777	7006
627	11793	6985
628	11808	6965
629	11824	6944
630	11839	6923
631	11856	6903
632	11877	6886
633	11893	6865
634	11908	6845
635	11924	6824
636	11940	6804
637	11954	6782
638	11971	6763
639	11986	6742
640	12000	6721
641	12019	6702
642	12033	6681
643	12048	6660
644	12065	6640
645	12080	6619
646	12095	6599
647	12113	6579
648	12131	6561
649	12147	6540
650	12163	6520
651	12180	6501
652	12195	6480
653	12212	6460
654	12228	6440
655	12243	6420
656	12258	6399
657	12273	6379
658	12291	6360
659	12306	6339
660	12323	6320
661	12367	6314
662	12392	6298
663	12409	6279
664	12425	6259
665	12442	6240
666	12458	6219
667	12474	6199
668	12493	6181
669	12512	6162
670	12530	6143
671	12546	6123
672	12566	6105
673	12579	6084
674	12593	6063
675	12608	6043
676	12624	6023
677	12639	6002
678	12655	5983
679	12671	5963
680	12687	5943
681	12704	5923
682	12719	5903
683	12735	5883
684	12752	5864
685	12769	5844
686	12786	5825
687	12808	5808
688	12824	5788
689	12839	5768
690	12853	5747
691	12868	5727
692	12883	5707
693	12898	5687
694	12914	5667
695	12929	5647
696	12952	5630
697	12968	5610
698	12984	5591
699	13001	5572
700	13017	5552
701	13032	5532
702	13047	5512
703	13063	5492
704	13078	5472
705	13092	5451
706	13107	5432
707	13125	5413
708	13145	5395
709	13162	5376
710	13215	5371
711	13236	5353
712	13251	5334
713	13266	5314
714	13284	5295
715	13300	5275
716	13316	5255
717	13332	5236
718	13349	5217
719	13366	5198
720	13382	5178
721	13399	5159
722	13415	5139
723	13432	5120
724	13448	5101
725	13463	5081
726	13478	5061
727	13494	5041
728	13511	5022
729	13527	5003
730	13543	4983
731	13560	4964
732	13575	4945
733	13592	4925
734	13614	4908
735	13632	4889
736	13647	4870
737	13662	4850
738	13678	4830
739	13693	4811
740	13710	4792
741	13728	4773
742	13745	4754
743	13762	4735
744	13780	4716
745	13796	4697
746	13812	4678
747	13833	4660
748	13849	4641
749	13865	4621
750	13880	4602
751	13896	4583
752	13913	4563
753	13929	4544
754	13945	4525
755	13960	4505
756	13977	4486
757	13993	4467
758	14009	4448
759	14034	4431
760	14051	4413
761	14067	4393
762	14083	4374
763	14100	4355
764	14116	4336
765	14132	4317
766	14148	4298
767	14164	4278
768	14179	4259
769	14197	4240
770	14242	4230
771	14266	4213
772	14284	4194
773	14299	4175
774	14315	4156
775	14331	4136
776	14346	4117
777	14362	4098
778	14380	4079
779	14403	4062
780	14421	4043
781	14439	4025
782	14458	4006
783	14473	3987
784	14489	3968
785	14505	3949
786	14519	3929
787	14535	3910
788	14549	3891
789	14564	3871
790	14579	3852
791	14597	3833
792	14613	3814
793	14630	3795
